lon,lat,lwe_thickness_csr,date
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-18.28334,2002-04
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
-1.684416102,5.109205651,-13.868108,2002-05
